#
# This is the translation file for converting NRCS RUSLE2 "skeleton" files to WEPS files. The entries are
# consulted when a RUSLE2 operation or crop is not found in the WEPS databases when the skeleton files are being imported.
# There are 3 columns seperated by pipe| characters.
#
#     Column 1 - The RUSLE2 name of an operation or crop
#
#     Column 2 - What to do when it is encountered, currently the 3 options are:
#                             rename - change name of operation or crop to match a WEPS value 
#                             delete - if name is an operation it removes the entire line
#                                      if name is a crop it deletes only the crop portion of entry
#                renameAndDeleteCrop - changes name of operation, if a crop is part of the entry the crop field is cleared.
#Hmm, looks like we need a "renameAndAddCrop" option also - LEW
#
#     Column 3 - The WEPS name to be used.
#                If column 1 is a crop name and column 2 is set to "rename", then "none" specified in column 3
#                will clear the crop field
# Lines in the file that start with a # are considered comment lines. 
#
# January 7, 2005 - jrf
#
#
# Notes from Jim's email message to me on Jan 7, 2005 - LEW
#
# In the rusle2 translation file if the rusle2 name maps to a vegetation then a 'delete' will delete that vegetation entry from
# any weps records, it will still leave the operation - just the crop column will be empty. The same applies if the action is
# 'rename|none' and the rusle2 name is a vegetation - the weps crop column becomes empty.
#
# There is a new action you can put in the rusle2 translation file: 'renameAndDeleteCrop' which applies an operation rename and
# then blanks the crop entry if one is present with this operation.
#
# For manually doing crop removals the first entry in the crop dropdown list is now blank which effectively clears the crop
# field if this is selected. When the data is converted to a weps management file these crop entries are not included. 
#
#-----------------------
# Example line that would remove the RUSLE2 operation from the generated WEPS man file (based upon a RUSLE2 operation name)
#Harvest, hay, legume|delete|none
#
#Based upon Jim's documentation, the following two lines perform the same function at this time.
# Example line that would remove only the RUSLE2 crop from the generated WEPS man file (based upon a RUSLE2 crop name)
#Alfalfa, yr4 regrowth after cutting|delete|none
# Example line that would remove only the RUSLE2 crop from the generated WEPS man file (based upon a RUSLE2 crop name)
#Alfalfa, yr4 regrowth after cutting|rename|none
#
# Example line that would rename the operation and remove a crop entry if it exists
#Harvest, hay, legume|RenameAndDeleteCrop|Harvest/Harvest (cut and remove whole plant above cut height)
#-----------------------
# CMZ 20
#
# Note that this one was used as a planting record (not a good thing for RUSLE2 to do with a "re-growth" record)
#
#
# Can't add "manure" crop with this substitution
#Manure spreader, solid and semi-solid|rename|Other/Add Crop Residue
#
#
Alfalfa brome /oat silage, harv to yr2  1st cut|delete|none
Alfalfa brome /oat silage, spring seed|rename|Oats, spring
Alfalfa brome /oat,  seed|rename|Oats, spring
Alfalfa brome /oat, harv to yr2  1st cut|delete|none
Alfalfa brome, fall seed senes to yr2 regrowth|rename|Alfalfa-Bromegrass, forage
Alfalfa brome, spring seed|rename|Alfalfa-Bromegrass, forage
Alfalfa brome, spring seed regrowth after cut|delete|none
Alfalfa brome, spring seed senes to y2 regrowth|delete|none
Alfalfa brome, spring seed senes winter graze to y2 regrowth|delete|none
Alfalfa brome, yr2 regrowth after cut|delete|none
Alfalfa brome, yr2 senes to yr3 regrowth|delete|none
Alfalfa brome, yr2 senes winter graze to yr3 regrowth|delete|none
Alfalfa brome, yr3 regrowth  after cut|delete|none
Alfalfa brome, yr3 senes to yr4 regrowth|delete|none
Alfalfa brome, yr3 senes winter graze to yr4 regrowth|delete|none
Alfalfa seed nw, fall plant senes to yr2 clipback|rename|Alfalfa, seed
Alfalfa seed nw, spring plant|rename|Alfalfa, seed
Alfalfa seed nw, yr2 regrowth after clipback|delete|none
Alfalfa seed nw, yr2 senes to yr3 regrowth|delete|none
Alfalfa seed sw, fall plant senes to yr2 clipback|delete|none
Alfalfa seed sw, yr2 regrowth after clipback|delete|none
Alfalfa seed sw, yr2 senes to yr3 regrowth|delete|none
Alfalfa, fall seed senes to yr2 regrowth|rename|Alfalfa, hay
Alfalfa, NW fall seeding, senes to yr2 regrowth|rename|Alfalfa, hay
Alfalfa, NW spring seeding, senes to yr2 regrowth|rename|Alfalfa, hay
Alfalfa, NW yr2 regrowth after cutting|delete|none
Alfalfa, NW yr2 senes to yr3 regrowth|delete|none
Alfalfa, NW yr3 regrowth after cutting|delete|none
Alfalfa, NW yr3 senes to yr4 regrowth|delete|none
Alfalfa, South, fall seed senes to yr2 regrowth|rename|Alfalfa, hay
Alfalfa, South, spring seed senes to y2 regrowth|rename|Alfalfa, hay
Alfalfa, South, yr2 regrowth after cutting|delete|none
Alfalfa, South, yr2 senes to yr3 regrowth|delete|none
Alfalfa, South, yr3 regrowth after cutting|delete|none
Alfalfa, South, yr3 senes to yr4 regrowth|delete|none
Alfalfa, South, yr4 regrowth after cutting|delete|none
Alfalfa, South, yr4 senes to yr5 regrowth|delete|none
Alfalfa, spring seed|rename|Alfalfa, hay
Alfalfa, spring seed regrowth after cutting|delete|none
Alfalfa, spring seed senes to y2 regrowth|delete|none
Alfalfa, spring seed senes winter graze to y2 regrowth|delete|none
Alfalfa, yr2 regrowth after cutting|delete|none
Alfalfa, yr2 senes to yr3 regrowth|delete|none
Alfalfa, yr2 senes winter graze to yr3 regrowth|delete|none
Alfalfa, yr3 regrowth after cutting|delete|none
Alfalfa, yr3 regrowth after seed harvest|delete|none
Alfalfa, yr3 senes to yr4 regrowth|delete|none
Alfalfa, yr3 senes winter graze to yr4 regrowth|delete|none
Alfalfa, yr4 regrowth after cutting|delete|none
Alfalfa, yr4 senes to yr5 regrowth|delete|none
Alfalfa, yr4 senes winter graze to yr5 regrowth|delete|none
Alfalfa/oat(silage), spring seed|rename|Oats, spring
Alfalfa/oat, grwth after oat harv to y2 regrth|delete|none
Alfalfa/oat, nurse crop spring seed|rename|Oats, spring
Alfalfa/oat, silage harv to yr2  1st cut|delete|none
Asparagus, yr1 and 2|rename|Asparagus
Asparagus, yr1 cover crop|rename|Asparagus
Asparagus, yr2 cover crop|delete|none
Asparagus, yr3+|delete|none
Asparagus, yr3+  HI PROD|delete|none
Asparagus, yr3+ cover crop|delete|none
Bahiagrass, y2+ senesc thru  yr3 + greenup|delete|none
